X,Y,Z,DBH
121.5801,157.926,-9.1027,0.318
118.5256,157.7859,-9.42,0.4197
104.9997,146.471,-8.8267,0.1732
132.2025,142.575,-7.8972,0.3537
131.4601,153.824,-9.7334,0.1684
117.7785,152.3091,-8.8816,0.3683
112.6199,169.2933,-12.1782,0.1074
132.1964,165.6056,-10.8025,0.1345
131.0951,166.1745,-10.7663,0.1834
133.3383,167.5693,-11.1619,0.1962
134.8885,168.4022,-11.6596,0.1442
109.5065,160.8024,-8.2998,0.1593
103.8058,157.0308,-7.5771,0.1426
104.3017,157.0834,-7.4248,0.1235
104.7395,157.3548,-7.4187,0.1235
102.1549,157.7157,-7.5036,0.1283
103.0755,152.7612,-7.9123,0.1148
106.1662,149.8695,-8.6316,0.1033
104.6554,149.9275,-8.5394,0.1417
104.6938,149.5655,-8.2802,0.1417
103.7832,150.2858,-8.3833,0.1102
103.6241,148.4664,-8.5152,0.1102
109.3118,145.4013,-9.0091,0.155
103.8856,147.0181,-9.0612,0.1148
102.2971,141.2954,-9.0873,0.2536
96.7249,156.0767,-8.2257,0.177
97.1711,158.1363,-8.2547,0.1695
95.2007,157.8278,-8.8256,0.1485
119.0435,156.8578,-9.2172,0.1908
94.5558,166.0631,-11.1032,0.1035
99.2069,164.6701,-8.9827,0.1916
99.5703,165.0263,-9.662,0.1928
107.3179,147.4781,-8.7079,0.1343
107.4752,147.9681,-8.667,0.1343
110.9002,165.8909,-10.724,0.205
104.1164,169.3576,-11.636,0.2493
110.4502,163.4402,-9.7129,0.4909
110.7591,163.7841,-9.4735,0.1653
109.8353,164.5165,-10.2322,0.1807
97.2299,152.9225,-7.2881,0.2874
110.3092,160.1251,-8.0648,0.3153
104.149,167.6842,-10.4095,0.339
103.9005,167.7985,-9.804,0.2529
104.6558,167.7404,-10.8499,0.2149
126.8958,152.0213,-9.5499,0.3412
126.8117,151.4047,-8.8943,0.2047
128.0875,158.9358,-9.546,0.2264
122.631,165.1729,-10.7319,0.345
125.5933,153.7846,-9.6601,0.232
103.8566,149.6071,-7.9688,0.2047
134.9203,165.8325,-11.2449,0.2169
115.064,156.7357,-8.5648,0.5409
129.3029,163.3729,-10.6561,0.1589
114.0657,156.0336,-8.4062,0.5409
122.3517,167.9917,-11.916,0.253
120.3667,142.5097,-8.6663,0.4392
107.7065,163.6012,-9.7494,0.606
107.288,163.0297,-9.0911,
117.8716,143.4562,-9.0607,0.3467
100.586,156.8005,-7.4498,0.2376
121.7792,152.5303,-9.0157,0.3293
128.8795,172.2531,-12.9612,0.5367
103.7081,154.91,-7.5779,0.2736
105.064,145.1628,-8.5576,0.5511
108.7189,151.9863,-8.6182,0.3188
116.3285,154.2397,-9.0754,0.2966
115.3019,168.2521,-11.9143,0.6022
129.9414,154.3514,-9.3737,0.1203
130.0544,153.138,-9.8442,0.5053
131.8108,170.6872,-12.8438,0.7923
125.49,150.2813,-9.4554,0.3139
110.4936,151.6496,-8.6717,0.4251
110.9712,167.7983,-11.5128,0.3362
122.8648,161.1292,-9.7904,0.4706
112.4939,161.9632,-8.2691,0.2041
112.2212,162.4917,-9.0144,0.4554
124.546,158.2394,-9.6188,0.575
123.2949,144.1938,-8.7593,0.5201
124.0818,151.2385,-9.3896,0.4777
118.5407,148.4083,-9.2423,0.7302
125.6655,142.1255,-8.4538,0.5201
126.3249,142.5255,-8.7359,0.4785
108.6013,170.1424,-12.0068,0.5758
96.683,150.1083,-7.8034,0.4565
96.3599,150.7619,-7.9459,0.4227
132.7656,162.1533,-10.3246,0.9901
93.0386,161.818,-10.5147,0.1661
93.3038,162.7043,-10.5402,0.4258
